x,f(x)
-7.000000000000064, 1.326431900473779
-6.990000000000064, 1.31503797095139
-6.980000000000064, 1.303967405057657
-6.970000000000065, 1.2932099171995857
-6.960000000000065, 1.282755696481263
-6.950000000000065, 1.2725953807464154
-6.940000000000065, 1.2627200323333732
-6.930000000000065, 1.2531211154129729
-6.920000000000066, 1.2437904747910191
-6.910000000000066, 1.2347203160669715
-6.900000000000066, 1.2259031870496218
-6.890000000000066, 1.2173319603387598
-6.8800000000000665, 1.2089998169893297
-6.870000000000067, 1.2009002311813595
-6.860000000000067, 1.1930269558251434
-6.850000000000067, 1.1853740090367844
-6.840000000000067, 1.177935661424337
-6.830000000000068, 1.1707064241294691
-6.820000000000068, 1.1636810375738351
-6.810000000000068, 1.1568544608632685
-6.800000000000068, 1.150221861806459
-6.790000000000068, 1.1437786075080645
-6.780000000000069, 1.1375202554992019
-6.770000000000069, 1.1314425453710084
-6.760000000000069, 1.1255413908794907
-6.750000000000069, 1.1198128724922005
-6.7400000000000695, 1.1142532303494017
-6.73000000000007, 1.108858857614366
-6.72000000000007, 1.103626294189231
-6.71000000000007, 1.098552220774524
-6.70000000000007, 1.0936334532520036
-6.690000000000071, 1.0888669373718645
-6.680000000000071, 1.0842497437266876
-6.670000000000071, 1.079779062995717
-6.660000000000071, 1.0754522014441679
-6.650000000000071, 1.0712665766633094
-6.640000000000072, 1.0672197135380344
-6.630000000000072, 1.0633092404295106
-6.620000000000072, 1.0595328855613513
-6.610000000000072, 1.0558884735984984
-6.6000000000000725, 1.0523739224087425
-6.590000000000073, 1.048987239997459
-6.580000000000073, 1.0457265216067655
-6.570000000000073, 1.0425899469708921
-6.560000000000073, 1.0395757777200754
-6.5500000000000735, 1.036682354925818
-6.540000000000074, 1.0339080967808052
-6.530000000000074, 1.0312514964072246
-6.520000000000074, 1.0287111197876424
-6.510000000000074, 1.0262856038129748
-6.500000000000075, 1.0239736544424671
-6.490000000000075, 1.021774044970921
-6.480000000000075, 1.0196856143987438
-6.470000000000075, 1.0177072659006898
-6.4600000000000755, 1.015837965389448
-6.450000000000076, 1.0140767401705126
-6.440000000000076, 1.0124226776850052
-6.430000000000076, 1.0108749243373891
-6.420000000000076, 1.0094326844052175
-6.4100000000000765, 1.0080952190282952
-6.400000000000077, 1.006861845274833
-6.390000000000077, 1.0057319352823746
-6.380000000000077, 1.0047049154714665
-6.370000000000077, 1.0037802658302224
-6.360000000000078, 1.0029575192681113
-6.350000000000078, 1.0022362610374655
-6.340000000000078, 1.0016161282213667
-6.330000000000078, 1.0010968092867334
-6.320000000000078, 1.000678043701577
-6.310000000000079, 1.0003596216155546
-6.300000000000079, 1.0001413836030837
-6.290000000000079, 1.000023220468435
-6.280000000000079, 1.0000050731123609
-6.2700000000000795, 1.0000869324599524
-6.26000000000008, 1.000268839449565
-6.25000000000008, 1.000550885082785
-6.24000000000008, 1.0009332105355515
-6.23000000000008, 1.0014160073306864
-6.220000000000081, 1.0019995175722234
-6.210000000000081, 1.002684034242075
-6.200000000000081, 1.0034699015597082
-6.190000000000081, 1.0043575154056568
-6.180000000000081, 1.0053473238098445
-6.170000000000082, 1.006439827505837
-6.160000000000082, 1.0076355805523127
-6.150000000000082, 1.0089351910231887
-6.140000000000082, 1.0103393217680172
-6.1300000000000825, 1.0118486912444318
-6.120000000000083, 1.0134640744246086
-6.110000000000083, 1.0151863037778937
-6.100000000000083, 1.0170162703319363
-6.090000000000083, 1.0189549248148888
-6.080000000000084, 1.021003278881427
-6.070000000000084, 1.0231624064255895
-6.060000000000084, 1.0254334449836613
-6.050000000000084, 1.027817597230577
-6.040000000000084, 1.0303161325735934
-6.030000000000085, 1.032930388847246
-6.020000000000085, 1.0356617741139147
-6.010000000000085, 1.0385117685746288
-6.000000000000085, 1.0414819265950819
-5.9900000000000855, 1.0445738788521755
-5.980000000000086, 1.047789334606801
-5.970000000000086, 1.0511300841089555
-5.960000000000086, 1.0545980011417366
-5.950000000000086, 1.0581950457112084
-5.9400000000000865, 1.0619232668896277
-5.930000000000087, 1.0657848058200459
-5.920000000000087, 1.0697818988908705
-5.910000000000087, 1.0739168810895623
-5.900000000000087, 1.078192189545315
-5.890000000000088, 1.0826103672712428
-5.880000000000088, 1.0871740671173604
-5.870000000000088, 1.0918860559464476
-5.860000000000088, 1.096749219045759
-5.8500000000000885, 1.1017665647884762
-5.840000000000089, 1.106941229559807
-5.830000000000089, 1.1122764829637373
-5.820000000000089, 1.1177757333276068
-5.810000000000089, 1.1234425335229647
-5.8000000000000895, 1.1292805871225313
-5.79000000000009, 1.135293754914595
-5.78000000000009, 1.1414860617977811
-5.77000000000009, 1.1478617040808845
-5.76000000000009, 1.1544250572143788
-5.750000000000091, 1.1611806839822554
-5.740000000000091, 1.16813334318512
-5.730000000000091, 1.1752879988479135
-5.720000000000091, 1.1826498299882788
-5.7100000000000914, 1.1902242409845207
-5.700000000000092, 1.1980168725852554
-5.690000000000092, 1.2060336136063217
-5.680000000000092, 1.2142806133642956
-5.670000000000092, 1.2227642949000979
-5.6600000000000925, 1.2314913690507
-5.650000000000093, 1.2404688494319103
-5.640000000000093, 1.249704068400653
-5.630000000000093, 1.2592046940711425
-5.620000000000093, 1.2689787484659119
-5.610000000000094, 1.2790346268898944
-5.600000000000094, 1.2893811186237067
-5.590000000000094, 1.3000274290410663
-5.580000000000094, 1.3109832032649578
-5.570000000000094, 1.322258551487858
-5.560000000000095, 1.3338640760931875
-5.550000000000095, 1.3458109007282362
-5.540000000000095, 1.358110701493377
-5.530000000000095, 1.3707757404284868
-5.5200000000000955, 1.3838189014954487
-5.510000000000096, 1.3972537292755438
-5.500000000000096, 1.4110944706227997
-5.490000000000096, 1.4253561195391422
-5.480000000000096, 1.440054465564939
-5.470000000000097, 1.4552061460095107
-5.460000000000097, 1.4708287023809414
-5.450000000000097, 1.4869406414134945
-5.440000000000097, 1.5035615011347359
-5.430000000000097, 1.5207119224637617
-5.420000000000098, 1.5384137268875062
-5.410000000000098, 1.556690000824801
-5.400000000000098, 1.575565187358844
-5.390000000000098, 1.5950651860990568
-5.3800000000000985, 1.6152174620245394
-5.370000000000099, 1.636051164264985
-5.360000000000099, 1.65759725589302
-5.350000000000099, 1.6798886559366855
-5.340000000000099, 1.702960394974836
-5.3300000000000995, 1.7268497858547978
-5.3200000000001, 1.7515966112742603
-5.3100000000001, 1.7772433302026263
-5.3000000000001, 1.8038353053859126
-5.2900000000001, 1.8314210544901486
-5.280000000000101, 1.8600525277983122
-5.270000000000101, 1.8897854157940608
-5.260000000000101, 1.920679490452466
-5.250000000000101, 1.9527989846264742
-5.2400000000001015, 1.986213014583209
-5.230000000000102, 2.0209960515254486
-5.220000000000102, 2.057228448853199
-5.210000000000102, 2.09499703300634
-5.200000000000102, 2.134395767015692
-5.1900000000001025, 2.1755264974187245
-5.180000000000103, 2.2184997970192324
-5.170000000000103, 2.263435918151907
-5.160000000000103, 2.3104658737331043
-5.150000000000103, 2.359732666538269
-5.140000000000104, 2.4113926909706156
-5.130000000000104, 2.465617336233945
